Clock,EUW - Play Description,Visiting Team Score,Home Team Score,CEN - Play Description,Score,Play
45:00:00,"For Centre College: #33 Averi Faulk, #22 Jessie Turner, #7  Alana Hughes, #20 Gracie Fitzgerald, #00 Jonelle Barron, #4  Sarah Sirkin, #13 Meghan Paynter, #18 Elizabeth Nelson, #24 Kristin Dean, #27 Cameron Zak, #21 Kennedy Cline.",,,,,"For Centre College: #33 Averi Faulk, #22 Jessie Turner, #7  Alana Hughes, #20 Gracie Fitzgerald, #00 Jonelle Barron, #4  Sarah Sirkin, #13 Meghan Paynter, #18 Elizabeth Nelson, #24 Kristin Dean, #27 Cameron Zak, #21 Kennedy Cline."
45:00:00,,,,"For Emory University: #23 Peyton Robertson, #10 Caroline Kolski, #12 Lauren Mahoney, #25 Kylie Hall, #7  Jordan Fitzgerald, #18 Arielle Williamson, #3  LJ Kolodge, #26 Shivani Beall, #24 Samantha Hilsee, #1  Haley Pratt, #6  Melika Mohammadi.",,"For Emory University: #23 Peyton Robertson, #10 Caroline Kolski, #12 Lauren Mahoney, #25 Kylie Hall, #7  Jordan Fitzgerald, #18 Arielle Williamson, #3  LJ Kolodge, #26 Shivani Beall, #24 Samantha Hilsee, #1  Haley Pratt, #6  Melika Mohammadi."
--,Foul on Centre College.,,,,,Foul on Centre College.
--,Foul on Centre College.,,,,,Foul on Centre College.
50:37:00,Centre College substitution: Taylor Gebhart for Sarah Sirkin.,,,,,Centre College substitution: Taylor Gebhart for Sarah Sirkin.
54:25:00,,,,"Shot by Emory University Arielle Williamson, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Arielle Williamson, Save (by goalie) Jonelle Barron."
55:34:00,,,,"Shot by Emory University Samantha Hilsee, High.",,"Shot by Emory University Samantha Hilsee, High."
55:41:00,,,,Emory University substitution: Aubrey Blanchard for Kylie Hall.,,Emory University substitution: Aubrey Blanchard for Kylie Hall.
55:41:00,Centre College substitution: Rilee Britton for Elizabeth Nelson.,,,,,Centre College substitution: Rilee Britton for Elizabeth Nelson.
57:50:00,,,,Offside against Emory University.,,Offside against Emory University.
--,Foul on Centre College.,,,,,Foul on Centre College.
58:45:00,,,,Emory University substitution: Lindsey Breskow for Arielle Williamson.,,Emory University substitution: Lindsey Breskow for Arielle Williamson.
60:00:00,,,,"Shot by Emory University Lindsey Breskow, High.",,"Shot by Emory University Lindsey Breskow, High."
61:14:00,,,,"Shot by Emory University Caroline Kolski, Wide.",,"Shot by Emory University Caroline Kolski, Wide."
--,,,,Foul on Emory University.,,Foul on Emory University.
62:20:00,"Shot by Centre College Meghan Paynter, High.",,,,,"Shot by Centre College Meghan Paynter, High."
62:59:00,,,,Emory University substitution: Natalie Klar for Caroline Kolski.,,Emory University substitution: Natalie Klar for Caroline Kolski.
--,,,,Foul on Emory University.,,Foul on Emory University.
--,Foul on Centre College.,,,,,Foul on Centre College.
65:28:00,Centre College substitution: Brooke Smithson for Alana Hughes.,,,,,Centre College substitution: Brooke Smithson for Alana Hughes.
66:07:00,,,,"Shot by Emory University Natalie Klar, High.",,"Shot by Emory University Natalie Klar, High."
--,Foul on Centre College.,,,,,Foul on Centre College.
67:08:00,,,,"Shot by Emory University Natalie Klar, Wide.",,"Shot by Emory University Natalie Klar, Wide."
67:22:00,,,,Emory University substitution: Kylie Hall for Melika Mohammadi.,,Emory University substitution: Kylie Hall for Melika Mohammadi.
67:22:00,Centre College substitution: Annie Stauffer for Kristin Dean.,,,,,Centre College substitution: Annie Stauffer for Kristin Dean.
68:47:00,,,,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron."
70:01:00,,,,"Shot by Emory University Peyton Robertson, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Peyton Robertson, Save (by goalie) Jonelle Barron."
70:26:00,Centre College substitution: Sarah Sirkin for Meghan Paynter.,,,,,Centre College substitution: Sarah Sirkin for Meghan Paynter.
71:13:00,,,,"Shot by Emory University Aubrey Blanchard, Team Save.",,"Shot by Emory University Aubrey Blanchard, Team Save."
71:27:00,,,,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron."
71:46:00,Centre College substitution: Kristin Dean for Averi Faulk.,,,,,Centre College substitution: Kristin Dean for Averi Faulk.
71:46:00,Centre College substitution: Meghan Paynter for Annie Stauffer.,,,,,Centre College substitution: Meghan Paynter for Annie Stauffer.
--,,,,Foul on Emory University.,,Foul on Emory University.
74:49:00,Centre College substitution: Alana Hughes for Rilee Britton.,,,,,Centre College substitution: Alana Hughes for Rilee Britton.
74:49:00,Centre College substitution: Elizabeth Nelson for Brooke Smithson.,,,,,Centre College substitution: Elizabeth Nelson for Brooke Smithson.
75:19:00,"Shot by Centre College Sarah Sirkin, Save (by goalie) Haley Pratt.",,,,,"Shot by Centre College Sarah Sirkin, Save (by goalie) Haley Pratt."
76:12:00,,,,Emory University substitution: Arielle Williamson for Kylie Hall.,,Emory University substitution: Arielle Williamson for Kylie Hall.
76:57:00,,,,"Shot by Emory University Natalie Klar, Wide.",,"Shot by Emory University Natalie Klar, Wide."
77:11:00,,,,Emory University substitution: Caroline Kolski for Natalie Klar.,,Emory University substitution: Caroline Kolski for Natalie Klar.
77:11:00,Centre College substitution: Averi Faulk for Taylor Gebhart.,,,,,Centre College substitution: Averi Faulk for Taylor Gebhart.
--,Foul on Centre College.,,,,,Foul on Centre College.
84:00:00,,,,"Header Shot by Emory University Shivani Beall, Save (by goalie) Jonelle Barron.",,"Header Shot by Emory University Shivani Beall, Save (by goalie) Jonelle Barron."
--,Foul on Centre College.,,,,,Foul on Centre College.
86:14:00,,,,Emory University substitution: Samantha Agnew for Lindsey Breskow.,,Emory University substitution: Samantha Agnew for Lindsey Breskow.
--,Foul on Centre College.,,,,,Foul on Centre College.
--,Foul on Centre College.,,,,,Foul on Centre College.
90:00:00,End of period [90:00].,,,,,End of period [90:00].
